,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,,,,,
105,Adelie,Biscoe,37.9,18.6,193,2925,female,2009,,,,,
106,Adelie,Biscoe,39.7,18.9,184,3550,male,2009,,,,,
107,Adelie,Biscoe,38.6,17.2,199,3750,female,2009,,,,,
108,Adelie,Biscoe,38.2,20,190,3900,male,2009,,,,,
109,Adelie,Biscoe,38.1,17,181,3175,female,2009,,,,,
110,Adelie,Biscoe,43.2,19,197,4775,male,2009,,,,,
111,Adelie,Biscoe,38.1,16.5,198,3825,female,2009,,,,,
112,Adelie,Biscoe,45.6,20.3,191,4600,male,2009,,,,,
113,Adelie,Biscoe,39.7,17.7,193,3200,female,2009,,,,,
114,Adelie,Biscoe,42.2,19.5,197,4275,male,2009,,,,,
115,Adelie,Biscoe,39.6,20.7,191,3900,female,2009,,,,,
116,Adelie,Biscoe,42.7,18.3,196,4075,male,2009,,,,,
117,Adelie,Torgersen,38.6,17,188,2900,female,2009,,,,,
118,Adelie,Torgersen,37.3,20.5,199,3775,male,2009,,,,,
119,Adelie,Torgersen,35.7,17,189,3350,female,2009,,,,,
120,Adelie,Torgersen,41.1,18.6,189,3325,male,2009,,,,,
121,Adelie,Torgersen,36.2,17.2,187,3150,female,2009,,,,,
122,Adelie,Torgersen,37.7,19.8,198,3500,male,2009,,,,,
123,Adelie,Torgersen,40.2,17,176,3450,female,2009,,,,,
124,Adelie,Torgersen,41.4,18.5,202,3875,male,2009,,,,,
125,Adelie,Torgersen,35.2,15.9,186,3050,female,2009,,,,,
126,Adelie,Torgersen,40.6,19,199,4000,male,2009,,,,,
127,Adelie,Torgersen,38.8,17.6,191,3275,female,2009,,,,,
128,Adelie,Torgersen,41.5,18.3,195,4300,male,2009,,,,,
129,Adelie,Torgersen,39,17.1,191,3050,female,2009,,,,,
130,Adelie,Torgersen,44.1,18,210,4000,male,2009,,,,,
131,Adelie,Torgersen,38.5,17.9,190,3325,female,2009,,,,,
132,Adelie,Torgersen,43.1,19.2,197,3500,male,2009,,,,,
133,Adelie,Dream,36.8,18.5,193,3500,female,2009,,,,,
134,Adelie,Dream,37.5,18.5,199,4475,male,2009,,,,,
135,Adelie,Dream,38.1,17.6,187,3425,female,2009,,,,,
136,Adelie,Dream,41.1,17.5,190,3900,male,2009,,,,,
137,Adelie,Dream,35.6,17.5,191,3175,female,2009,,,,,
138,Adelie,Dream,40.2,20.1,200,3975,male,2009,,,,,
139,Adelie,Dream,37,16.5,185,3400,female,2009,,,,,
140,Adelie,Dream,39.7,17.9,193,4250,male,2009,,,,,
141,Adelie,Dream,40.2,17.1,193,3400,female,2009,,,,,
142,Adelie,Dream,40.6,17.2,187,3475,male,2009,,,,,
143,Adelie,Dream,32.1,15.5,188,3050,female,2009,,,,,
144,Adelie,Dream,40.7,17,190,3725,male,2009,,,,,
145,Adelie,Dream,37.3,16.8,192,3000,female,2009,,,,,
146,Adelie,Dream,39,18.7,185,3650,male,2009,,,,,
147,Adelie,Dream,39.2,18.6,190,4250,male,2009,,,,,
148,Adelie,Dream,36.6,18.4,184,3475,female,2009,,,,,
149,Adelie,Dream,36,17.8,195,3450,female,2009,,,,,
150,Adelie,Dream,37.8,18.1,193,3750,male,2009,,,,,
151,Adelie,Dream,36,17.1,187,3700,female,2009,,,,,
152,Adelie,Dream,41.5,18.5,201,4000,male,2009,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
233,Gentoo,Biscoe,49.1,14.5,212,4625,female,2009,,,,,
234,Gentoo,Biscoe,52.5,15.6,221,5450,male,2009,,,,,
235,Gentoo,Biscoe,47.4,14.6,212,4725,female,2009,,,,,
236,Gentoo,Biscoe,50,15.9,224,5350,male,2009,,,,,
237,Gentoo,Biscoe,44.9,13.8,212,4750,female,2009,,,,,
238,Gentoo,Biscoe,50.8,17.3,228,5600,male,2009,,,,,
239,Gentoo,Biscoe,43.4,14.4,218,4600,female,2009,,,,,
240,Gentoo,Biscoe,51.3,14.2,218,5300,male,2009,,,,,
241,Gentoo,Biscoe,47.5,14,212,4875,female,2009,,,,,
242,Gentoo,Biscoe,52.1,17,230,5550,male,2009,,,,,
243,Gentoo,Biscoe,47.5,15,218,4950,female,2009,,,,,
244,Gentoo,Biscoe,52.2,17.1,228,5400,male,2009,,,,,
245,Gentoo,Biscoe,45.5,14.5,212,4750,female,2009,,,,,
246,Gentoo,Biscoe,49.5,16.1,224,5650,male,2009,,,,,
247,Gentoo,Biscoe,44.5,14.7,214,4850,female,2009,,,,,
248,Gentoo,Biscoe,50.8,15.7,226,5200,male,2009,,,,,
249,Gentoo,Biscoe,49.4,15.8,216,4925,male,2009,,,,,
250,Gentoo,Biscoe,46.9,14.6,222,4875,female,2009,,,,,
251,Gentoo,Biscoe,48.4,14.4,203,4625,female,2009,,,,,
252,Gentoo,Biscoe,51.1,16.5,225,5250,male,2009,,,,,
253,Gentoo,Biscoe,48.5,15,219,4850,female,2009,,,,,
254,Gentoo,Biscoe,55.9,17,228,5600,male,2009,,,,,
255,Gentoo,Biscoe,47.2,15.5,215,4975,female,2009,,,,,
256,Gentoo,Biscoe,49.1,15,228,5500,male,2009,,,,,
,,,,,,,,,,,,,
258,Gentoo,Biscoe,46.8,16.1,215,5500,male,2009,,,,,
259,Gentoo,Biscoe,41.7,14.7,210,4700,female,2009,,,,,
260,Gentoo,Biscoe,53.4,15.8,219,5500,male,2009,,,,,
261,Gentoo,Biscoe,43.3,14,208,4575,female,2009,,,,,
262,Gentoo,Biscoe,48.1,15.1,209,5500,male,2009,,,,,
263,Gentoo,Biscoe,50.5,15.2,216,5000,female,2009,,,,,
264,Gentoo,Biscoe,49.8,15.9,229,5950,male,2009,,,,,
265,Gentoo,Biscoe,43.5,15.2,213,4650,female,2009,,,,,
266,Gentoo,Biscoe,51.5,16.3,230,5500,male,2009,,,,,
267,Gentoo,Biscoe,46.2,14.1,217,4375,female,2009,,,,,
268,Gentoo,Biscoe,55.1,16,230,5850,male,2009,,,,,
,,,,,,,,,,,,,
270,Gentoo,Biscoe,48.8,16.2,222,6000,male,2009,,,,,
271,Gentoo,Biscoe,47.2,13.7,214,4925,female,2009,,,,,
,,,,,,,,,,,,,
273,Gentoo,Biscoe,46.8,14.3,215,4850,female,2009,,,,,
274,Gentoo,Biscoe,50.4,15.7,222,5750,male,2009,,,,,
275,Gentoo,Biscoe,45.2,14.8,212,5200,female,2009,,,,,
276,Gentoo,Biscoe,49.9,16.1,213,5400,male,2009,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
321,Chinstrap,Dream,50.9,17.9,196,3675,female,2009,,,,,
322,Chinstrap,Dream,50.8,18.5,201,4450,male,2009,,,,,
323,Chinstrap,Dream,50.1,17.9,190,3400,female,2009,,,,,
324,Chinstrap,Dream,49,19.6,212,4300,male,2009,,,,,
325,Chinstrap,Dream,51.5,18.7,187,3250,male,2009,,,,,
326,Chinstrap,Dream,49.8,17.3,198,3675,female,2009,,,,,
327,Chinstrap,Dream,48.1,16.4,199,3325,female,2009,,,,,
328,Chinstrap,Dream,51.4,19,201,3950,male,2009,,,,,
329,Chinstrap,Dream,45.7,17.3,193,3600,female,2009,,,,,
330,Chinstrap,Dream,50.7,19.7,203,4050,male,2009,,,,,
331,Chinstrap,Dream,42.5,17.3,187,3350,female,2009,,,,,
332,Chinstrap,Dream,52.2,18.8,197,3450,male,2009,,,,,
333,Chinstrap,Dream,45.2,16.6,191,3250,female,2009,,,,,
334,Chinstrap,Dream,49.3,19.9,203,4050,male,2009,,,,,
335,Chinstrap,Dream,50.2,18.8,202,3800,male,2009,,,,,
336,Chinstrap,Dream,45.6,19.4,194,3525,female,2009,,,,,
337,Chinstrap,Dream,51.9,19.5,206,3950,male,2009,,,,,
338,Chinstrap,Dream,46.8,16.5,189,3650,female,2009,,,,,
339,Chinstrap,Dream,45.7,17,195,3650,female,2009,,,,,
340,Chinstrap,Dream,55.8,19.8,207,4000,male,2009,,,,,
341,Chinstrap,Dream,43.5,18.1,202,3400,female,2009,,,,,
342,Chinstrap,Dream,49.6,18.2,193,3775,male,2009,,,,,
343,Chinstrap,Dream,50.8,19,210,4100,male,2009,,,,,4000
344,Chinstrap,Dream,50.2,18.7,198,3775,female,2009,,,,,
